,question,answer_aliases,answers,answers_norm,aliases_norm
37,Who became US Vice President when Spiro Agnew resigned?,"['President Gerald R. Ford' 'Gerald R. Ford Jr.'
 'Assassination attempts on Gerald Ford' 'Leslie Lynch King Jr.'
 'Leslie L King' 'Leslie King, Jr.' 'Ford administration' 'Gerald R Ford'
 'Leslie Lynch King, Jr' 'Birth and life of Gerald Ford'
 'Leslie Lynch King' 'Presidency of Gerald Ford administration'
 'Gerald fod' 'Vice President Ford' 'Nixon pardon' 'Ford Administration'
 'Presidency of Gerald R. Ford' 'Jerry Ford' 'U.S. President Gerald Ford'
 'Gerald Rudolph Ford' 'Gerald R. Ford' 'Presidency of Gerald Ford'
 'Gerald ford' 'Gerald R. Ford, Jr' 'Gerald Rudolph Ford Jr.'
 'Presidency of gerald ford' 'Gerald Rudolph, Jr. Ford'
 'President Gerald Ford' 'Gerald Ford, Jr.' 'Gerald R. Ford, Jr.'
 'Gerry Ford' 'Leslie Lynch King Jr' 'Gerald Ford' 'Leslie L. King'
 'Leslie Lynch King, Jr.' '38th President of the United States'
 'Leslie King, Jr' 'President Ford' 'Gerald Rudolph Ford, Jr.']",Gerald Ford,gerald ford,"['president gerald r ford', 'gerald r ford jr', 'assassination attempts on gerald ford', 'leslie lynch king jr', 'leslie l king', 'leslie king jr', 'ford administration', 'gerald r ford', 'leslie lynch king jr', 'birth and life of gerald ford', 'leslie lynch king', 'presidency of gerald ford administration', 'gerald fod', 'vice president ford', 'nixon pardon', 'ford administration', 'presidency of gerald r ford', 'jerry ford', 'us president gerald ford', 'gerald rudolph ford', 'gerald r ford', 'presidency of gerald ford', 'gerald ford', 'gerald r ford jr', 'gerald rudolph ford jr', 'presidency of gerald ford', 'gerald rudolph jr ford', 'president gerald ford', 'gerald ford jr', 'gerald r ford jr', 'gerry ford', 'leslie lynch king jr', 'gerald ford', 'leslie l king', 'leslie lynch king jr', '38th president of the united states', 'leslie king jr', 'president ford', 'gerald rudolph ford jr']"
38,In which decade of the 20th century was Billy Crystal born?,"['The Forties' '1940–1949' '%6040s' '1940s' 'Nineteen-forties'
 '1940s literature' ""'40s"" '1940-1949' ""1940's"" '1940s (decade)']",1940s,1940s,"['the forties', '19401949', '6040s', '1940s', 'nineteenforties', '1940s literature', '40s', '19401949', '1940s', '1940s decade']"
39,Which George invented the Kodak roll-film camera?,['Eastman' 'Eastman (disambiguation)'],Eastman,eastman,"['eastman', 'eastman disambiguation']"
40,Which series had the characters Felix Unger and Oscar Madison?,"['The Odd Couple' 'The Female Odd Couple' 'Oscar madison'
 'Murray Greshler' 'Oscar Madison']",The Odd Couple,the odd couple,"['the odd couple', 'the female odd couple', 'oscar madison', 'murray greshler', 'oscar madison']"
41,Who along with Philips developed the CD in the late 70s?,"['Tokyo Tsushin Kogyo' 'DCR-DVD405E' 'DSC-P93' 'ソニー株式会社' 'DSC-T10'
 'Sony Corporation' 'DCR-TRV38' 'DCR-SR35E'
 'List of Sony shareholders and subsidiaries' 'Sony Style' 'Sony Corp.'
 'MODEL-NAME' 'Sony Entertainment' 'S0ny' 'Sony corporation'
 'The Sony Corporation' 'List of Sony products' 'DSC-WX100 v1.00'
 'Sony Electronics' 'Sony Europe'
 'List of assets owned by Sony Corporation' 'Sony'
 'Sony Broadcast & Professional Research Laboratories'
 'Tokyo Telecommunications Engineering' 'Sony EMCS'
 'Sony (Sony Corporation, Japan)' 'Sony Company' 'ソニー' 'Sony CISC'
 'Sony Store' 'HDR-SR12' 'SONY' 'DSC-WX100' 'Sonī Kabushiki Gaisha'
 'Sony.com' 'Sony Electronics Inc.' 'SonyStyle'
 'Tokyo Telecommunications Engineering Corporation' 'Sony Corp' 'MMCD'
 'Sony Group' 'Sony City']",Sony,sony,"['tokyo tsushin kogyo', 'dcrdvd405e', 'dscp93', 'ソニー株式会社', 'dsct10', 'sony corporation', 'dcrtrv38', 'dcrsr35e', 'list of sony shareholders and subsidiaries', 'sony style', 'sony corp', 'modelname', 'sony entertainment', 's0ny', 'sony corporation', 'the sony corporation', 'list of sony products', 'dscwx100 v100', 'sony electronics', 'sony europe', 'list of assets owned by sony corporation', 'sony', 'sony broadcast  professional research laboratories', 'tokyo telecommunications engineering', 'sony emcs', 'sony sony corporation japan', 'sony company', 'ソニー', 'sony cisc', 'sony store', 'hdrsr12', 'sony', 'dscwx100', 'sonī kabushiki gaisha', 'sonycom', 'sony electronics inc', 'sonystyle', 'tokyo telecommunications engineering corporation', 'sony corp', 'mmcd', 'sony group', 'sony city']"
42,Where is the multinational Nestle based?,"['ISO 3166-1:CH' 'Svissland' 'Etymology of Switzerland'
 'Confederation Helvetia' 'Swizerland' 'Confederatio Helvetica'
 'Environmental Integrity Group' 'Confoederatio Helvetica' 'Svizra'
 'SWITZERLAND' 'Confédération suisse' 'SwissEnergy' 'Schweitz' 'Švýcarsko'
 'Die Schweiz' 'Schwitzerland' 'Confederation suisse' 'Der Schweiz'
 'Swiss Confederated States' 'Suiza' 'Switz' 'Switzeland' 'Schweiz'
 'Confederation Helvetica' 'Switserland' 'Suisse'
 'Schweizerische Eidgenossenschaft' 'Switzerland information'
 'Confederaziun Svizra' 'Switzer land' 'Switzerland'
 'Land of the Switzers' 'Swiss confederation' 'Confœderatio Helvetica'
 'Swiss' 'Confederation Suisse' 'Confederation of Helvatia'
 'Land of the Swiss' 'Confederaziun svizra' 'Svizzera' 'Swissland'
 'Swizterland' 'Confédération Suisse' 'Confederazione Svizzera'
 'Swiss Confederation']",Switzerland,switzerland,"['iso 31661ch', 'svissland', 'etymology of switzerland', 'confederation helvetia', 'swizerland', 'confederatio helvetica', 'environmental integrity group', 'confoederatio helvetica', 'svizra', 'switzerland', 'confédération suisse', 'swissenergy', 'schweitz', 'švýcarsko', 'die schweiz', 'schwitzerland', 'confederation suisse', 'der schweiz', 'swiss confederated states', 'suiza', 'switz', 'switzeland', 'schweiz', 'confederation helvetica', 'switserland', 'suisse', 'schweizerische eidgenossenschaft', 'switzerland information', 'confederaziun svizra', 'switzer land', 'switzerland', 'land of the switzers', 'swiss confederation', 'confœderatio helvetica', 'swiss', 'confederation suisse', 'confederation of helvatia', 'land of the swiss', 'confederaziun svizra', 'svizzera', 'swissland', 'swizterland', 'confédération suisse', 'confederazione svizzera', 'swiss confederation']"
43,Do You Know Where You're Going To? was the theme from which film?,"['Mahoganies' 'Mahoganier' 'Mahogony' 'Mahagany' 'Mahogany' 'Mahoganish'
 'Mogany' 'Mahoganyish']",Mahogany,mahogany,"['mahoganies', 'mahoganier', 'mahogony', 'mahagany', 'mahogany', 'mahoganish', 'mogany', 'mahoganyish']"
44,19969 was the Chinese year of which creature?,"['🐀' 'Species of rat' 'Ratus (genus)' 'Rats' 'Rattus rattus domesticus'
 'True rat' 'Rat subspecies' 'Rat IQ' 'Rat' 'Subspecies of rat' 'Rattus'
 'Rat feces' 'Stenomys' 'Ringie' 'List of rat species' 'Rat species']",Rat,rat,"['', 'species of rat', 'ratus genus', 'rats', 'rattus rattus domesticus', 'true rat', 'rat subspecies', 'rat iq', 'rat', 'subspecies of rat', 'rattus', 'rat feces', 'stenomys', 'ringie', 'list of rat species', 'rat species']"
45,In the 90s how many points have been awarded for finishing second in a Grand Prix?,['six' '6'],6,6,"['six', '6']"
46,Stapleton international airport is in which US state?,"['Colorado (State)' 'Colorful Colorado' 'Special districts of Colorado'
 'Insignia of the State of Colorado'
 'List of military facilities in Colorado' 'Coloradan'
 'Cuisines of Colorado' 'Colorado (U.S. state)'
 'List of professional sports teams in Colorado' 'Religion in Colorado'
 'Professional sport teams of Colorado' 'Rocky Mountain Empire'
 'Thirty-eighth State' '38th State' 'Coloradans' 'Colorado, United States'
 'The Centennial State' 'Colo.'
 'List of professional sports teams of Colorado'
 'Protected areas of Colorado' 'Education in Colorado' 'State of Colorado'
 'Columbine State' 'Thirty-Eighth State' 'Colorado (state)'
 'List of former professional sports teams of Colorado' 'US-CO'
 'Colorado protected areas' 'Mother of Rivers'
 'List of Colorado state insignia' 'Fine arts in Colorado'
 'Climate of Colorado' 'Professional sports in Colorado'
 'Colorado state nickname' 'Emblems of the State of Colorado' 'Colorado'
 'Colorado military facilities' 'Demographics of Colorado' 'Colorada'
 'Kolorado' 'Culture of Colorado' 'Colarado' 'Centennial State'
 'CO (state)' 'Buffalo Plains State' 'Military facilities in Colorado']",Colorado,colorado,"['colorado state', 'colorful colorado', 'special districts of colorado', 'insignia of the state of colorado', 'list of military facilities in colorado', 'coloradan', 'cuisines of colorado', 'colorado us state', 'list of professional sports teams in colorado', 'religion in colorado', 'professional sport teams of colorado', 'rocky mountain empire', 'thirtyeighth state', '38th state', 'coloradans', 'colorado united states', 'the centennial state', 'colo', 'list of professional sports teams of colorado', 'protected areas of colorado', 'education in colorado', 'state of colorado', 'columbine state', 'thirtyeighth state', 'colorado state', 'list of former professional sports teams of colorado', 'usco', 'colorado protected areas', 'mother of rivers', 'list of colorado state insignia', 'fine arts in colorado', 'climate of colorado', 'professional sports in colorado', 'colorado state nickname', 'emblems of the state of colorado', 'colorado', 'colorado military facilities', 'demographics of colorado', 'colorada', 'kolorado', 'culture of colorado', 'colarado', 'centennial state', 'co state', 'buffalo plains state', 'military facilities in colorado']"
47,What was Kevin Kline's first movie?,"[""Sophie's Choice"" ""Sophie's Choice (disambiguation)"" 'Sophies Choice'
 ""Sophie's choice""]",Sophie's Choice,sophies choice,"['sophies choice', 'sophies choice disambiguation', 'sophies choice', 'sophies choice']"
48,Which actor had a Doberman Pinscher called Kirk?,"['Gloria Rabinowitz' 'Star Trek (Shatnerverse Novels)' 'Shatastic'
 'William Shatner' 'A Twist in the Tale (1998 TV series)' 'Shatneresque'
 'The Shat' 'Bill Shatner' 'Shatnerian' 'Nerine Kidd' 'The Shatters'
 'Gloria Rand' 'Willem shatner' 'William Alan Shatner' 'Shatner, William'
 'Will Shatner' 'Shatnernator'
 'William Shatner SciFi DVD of the Month Club']",William Shatner,william shatner,"['gloria rabinowitz', 'star trek shatnerverse novels', 'shatastic', 'william shatner', 'a twist in the tale 1998 tv series', 'shatneresque', 'the shat', 'bill shatner', 'shatnerian', 'nerine kidd', 'the shatters', 'gloria rand', 'willem shatner', 'william alan shatner', 'shatner william', 'will shatner', 'shatnernator', 'william shatner scifi dvd of the month club']"
49,What day of the week was the Wall Street Crash?,"[""Thor's Day"" 'Guruvaar' ""Thor's day"" 'Thursdays' 'Thursday' 'Thurs.'
 'Thorsday' ""Jupiter's day""]",Thursday,thursday,"['thors day', 'guruvaar', 'thors day', 'thursdays', 'thursday', 'thurs', 'thorsday', 'jupiters day']"
50,The US signed a treaty with which country to allow the construction of the Panama Canal?,"['Columbia' 'Columbia (municipality)' 'Columbia (song)'
 'Columbia automobile' 'Columbia (yacht)' 'Columbia (disambiguation)'
 'Columbia (town)']",Columbia,columbia,"['columbia', 'columbia municipality', 'columbia song', 'columbia automobile', 'columbia yacht', 'columbia disambiguation', 'columbia town']"
51,What was Prince's last No 1 of the 80s?,['Batdance'],Batdance,batdance,['batdance']
52,Man In The Mirror first featured on which Michel Jackson album?,"['Bad (disambiguation)' 'Bad (song)' 'Bad' 'BAD' 'BAD (disambiguation)'
 'Badness']",Bad,bad,"['bad disambiguation', 'bad song', 'bad', 'bad', 'bad disambiguation', 'badness']"
53,Where was the first battle with US involvement in the Korean War?,"['水原' 'Suwon, Puwan' 'Suwŏn' 'Suwon Airfield' 'Suwon' 'Suweon' '수원'
 'Suwon City' 'Sannam Elementary School']",Suwon,suwon,"['水原', 'suwon puwan', 'suwŏn', 'suwon airfield', 'suwon', 'suweon', '수원', 'suwon city', 'sannam elementary school']"
54,On which Caribbean island did Princess Diana spend he first Christmas after her divorce was announced?,"['Barbuda Island, Antigua and Barbuda' 'Barbuda Island' 'Barbuda colony'
 'Dependency of Barbuda, Antigua and Barbuda'
 'Barbuda, Antigua and Barbuda' 'Dependency of Barbuda'
 'Barbuda Dependency, Antigua and Barbuda' 'Barbuda' 'Island of Barbuda']",Barbuda,barbuda,"['barbuda island antigua and barbuda', 'barbuda island', 'barbuda colony', 'dependency of barbuda antigua and barbuda', 'barbuda antigua and barbuda', 'dependency of barbuda', 'barbuda dependency antigua and barbuda', 'barbuda', 'island of barbuda']"
55,In which decade was Arnold Schwarzenegger born?,"['The Fifties' '1950s' '1950-1959' ""50's"" '1950’s' '1950–1959'
 'Nineteen-fifties' '1950s (decade)' '1950ies' ""1950's"" ""'50s"" '195%3F'
 'Fifties']",1950s,1950s,"['the fifties', '1950s', '19501959', '50s', '1950s', '19501959', 'nineteenfifties', '1950s decade', '1950ies', '1950s', '50s', '1953f', 'fifties']"
56,Which musical featured the song Thank Heaven for Little Girls?,['Gigi' 'GiGi'],Gigi,gigi,"['gigi', 'gigi']"
57,The Queen Elizabeth liner was destroyed by fire in the 70s in which harbour?,"['Kong Hong' 'Hong Kong, city' 'Hong kong as a financial center'
 'Hongkong,China' 'Hsian kang' 'Hongkong' 'Hong-kong' 'Hon Kon'
 'Hong Kong S. A. R.' 'Hong Kong/China' 'Hong Kong City' 'HK'
 'Name of Hong Kong' 'Hong Kong,China' 'Heung Gong' 'Hsiankang'
 'Hong Kong/Infobox' 'Hog Kog' 'Xiang Gang' 'Heung-Gong'
 'Hong Kong Special Administrative Republic' 'Honk Kong' '香港特別行政區'
 'Xiānggǎng' 'H.K.S.A.R.' '香港' 'Hsiang-kang' 'HKSAR' 'Hong-Kong' 'Hon kon'
 'Hong Kong SAR China' 'Hk' 'HongKong' 'Hong Kong/infobox'
 'Hong Kong China'
 ""Hong Kong Special Administrative Region of the People's Republic of China""
 'HKSAROPRC' '香港特區' 'Hong Kong' 'Heung-gong' 'Hong Kong SAR'
 'SAR Hongkong' '香港特区'
 'Zhōnghuá rénmín gònghéguó xiānggǎng tèbié xíngzhèngqū'
 'Hong Kong S.A.R.' 'Hong Kong (China)' 'CN-91' '中華人民共和國香港特別行政區'
 '中华人民共和国香港特别行政区' 'Sianggang' 'Hsangkang' 'Hongkong, China' 'HONG KONG'
 'Xiāng Gǎng' 'Hyanghang' 'Hong Kong Special Administration Region'
 'Hong cong' 'Hksar' 'China/Hong Kong' 'Hong Kong, Hong Kong' 'H K'
 'Hong kong' 'Hong Kong, China' 'SAR HongKong' 'ISO 3166-1:HK'
 'Hong Kong as a Financial Center' 'Hèunggóng' 'H.K.' 'Heunggong'
 'Shang gang' 'Xianggang' 'Hong Kong SAR, China' '香港特别行政区'
 'Hong Kong, SAR' 'Hong Kong Special Administrative Region'
 'Xianggang Tebie Xingzhengqu' 'Hong Kong cityscape' 'Hoong Kong'
 'Xiang gang' 'Hong Kong Special Administrative Region of China'
 'UN/LOCODE:HKHKG' 'Hoeng1 gong2']",Hong Kong,hong kong,"['kong hong', 'hong kong city', 'hong kong as a financial center', 'hongkongchina', 'hsian kang', 'hongkong', 'hongkong', 'hon kon', 'hong kong s a r', 'hong kongchina', 'hong kong city', 'hk', 'name of hong kong', 'hong kongchina', 'heung gong', 'hsiankang', 'hong konginfobox', 'hog kog', 'xiang gang', 'heunggong', 'hong kong special administrative republic', 'honk kong', '香港特別行政區', 'xiānggǎng', 'hksar', '香港', 'hsiangkang', 'hksar', 'hongkong', 'hon kon', 'hong kong sar china', 'hk', 'hongkong', 'hong konginfobox', 'hong kong china', 'hong kong special administrative region of the peoples republic of china', 'hksaroprc', '香港特區', 'hong kong', 'heunggong', 'hong kong sar', 'sar hongkong', '香港特区', 'zhōnghuá rénmín gònghéguó xiānggǎng tèbié xíngzhèngqū', 'hong kong sar', 'hong kong china', 'cn91', '中華人民共和國香港特別行政區', '中华人民共和国香港特别行政区', 'sianggang', 'hsangkang', 'hongkong china', 'hong kong', 'xiāng gǎng', 'hyanghang', 'hong kong special administration region', 'hong cong', 'hksar', 'chinahong kong', 'hong kong hong kong', 'h k', 'hong kong', 'hong kong china', 'sar hongkong', 'iso 31661hk', 'hong kong as a financial center', 'hèunggóng', 'hk', 'heunggong', 'shang gang', 'xianggang', 'hong kong sar china', '香港特别行政区', 'hong kong sar', 'hong kong special administrative region', 'xianggang tebie xingzhengqu', 'hong kong cityscape', 'hoong kong', 'xiang gang', 'hong kong special administrative region of china', 'unlocodehkhkg', 'hoeng1 gong2']"
58,What breed of dog did Columbo own?,"['Basset Hound' 'Bassett hound' 'Basset hounds' 'Basset hound'
 'Basid hound']",Basset hound,basset hound,"['basset hound', 'bassett hound', 'basset hounds', 'basset hound', 'basid hound']"
59,What was the first movie western called?,"['Josefa Jamarillo Carson' 'Rope Thrower' 'Christopher Carson'
 'Christopher Houston Carson' 'Kit Carson' 'Waa-Nibe'
 'Christopher %22Kit%22 Carson']",Kit Carson,kit carson,"['josefa jamarillo carson', 'rope thrower', 'christopher carson', 'christopher houston carson', 'kit carson', 'waanibe', 'christopher 22kit22 carson']"
60,Which Oscar-winning actress was born on exactly the same day as actress Lindsay Wagner?,"['Meryl streep' 'Meryl Streep' 'Mary Streep' 'Streep' 'Mary Louise Streep'
 'Merril Streep' 'Meril streep']",Meryl Streep,meryl streep,"['meryl streep', 'meryl streep', 'mary streep', 'streep', 'mary louise streep', 'merril streep', 'meril streep']"
61,Which Amendment to the Constitution brought in prohibition in 1920?,['18' '18th' 'eighteen'],18th,18th,"['18', '18th', 'eighteen']"
62,Which oil scandal hit the US in 1924?,"['Teapot dome affair' 'Teapot dome scandal' 'Tea Pot Dome scandal'
 'Tea Pot Dome' 'Teapot Dome Scandal' 'Teapot Dome' 'Elk Hills oil field'
 'Teapot Dome scandal' 'Teapot scandal' 'Tea Pot Dome Scandal'
 'Tea Pot Dome Scandel']",Teapot Dome Scandal,teapot dome scandal,"['teapot dome affair', 'teapot dome scandal', 'tea pot dome scandal', 'tea pot dome', 'teapot dome scandal', 'teapot dome', 'elk hills oil field', 'teapot dome scandal', 'teapot scandal', 'tea pot dome scandal', 'tea pot dome scandel']"
63,Phil Collins appeared in which Spielberg film with Robin Williams?,['Hook' 'HOOK'],Hook,hook,"['hook', 'hook']"
64,1998 was the Chinese year of which creature?,"['Tigress' '🐅' 'Tigers in captivity' 'Tigris striatus' 'Tigers (animal)'
 'Mating tigers' 'Sexual behavior of tigers' '🐯'
 'Endangered Subspecies of Tiger' 'Tiger populations' 'Tigers'
 'Tigris regalis' 'Panthera Tigris' 'Tiger' 'F tigris' 'Tiger blood'
 'Naahar' 'African tiger' 'Panthera tigris' 'Felis tigris' 'Tigrine'
 'Endangered subspecies of tiger' 'Tiger cub' 'Tiger (wild)' 'Tiger urine'
 'F. tigris']",Tiger,tiger,"['tigress', '', 'tigers in captivity', 'tigris striatus', 'tigers animal', 'mating tigers', 'sexual behavior of tigers', '', 'endangered subspecies of tiger', 'tiger populations', 'tigers', 'tigris regalis', 'panthera tigris', 'tiger', 'f tigris', 'tiger blood', 'naahar', 'african tiger', 'panthera tigris', 'felis tigris', 'tigrine', 'endangered subspecies of tiger', 'tiger cub', 'tiger wild', 'tiger urine', 'f tigris']"
65,Which country does musician Alfred Brendel come from?,"['The Republic of Austria' 'Oesterreich' 'Eastreach' 'Österrike'
 'Easterrealm' 'Austurriki' 'Republik Österreich' 'Osterreich'
 'Austurríki' 'Austrian Republic' 'Republik Osterreich' 'Avstria'
 'Österreich' 'Republik Oesterreich' 'Administrative divisions of Austria'
 'Ostria' 'ISO 3166-1:AT' 'Alpine Deutschen' 'Austria' 'Oostenrijk'
 'Architecture of Austria' 'Republic of Austria' 'Etymology of Austria'
 'Autriche' 'Austrian architecture']",Austria,austria,"['the republic of austria', 'oesterreich', 'eastreach', 'österrike', 'easterrealm', 'austurriki', 'republik österreich', 'osterreich', 'austurríki', 'austrian republic', 'republik osterreich', 'avstria', 'österreich', 'republik oesterreich', 'administrative divisions of austria', 'ostria', 'iso 31661at', 'alpine deutschen', 'austria', 'oostenrijk', 'architecture of austria', 'republic of austria', 'etymology of austria', 'autriche', 'austrian architecture']"
66,Theodore Francis international airport is in which US state?,"['RhodeIsland' 'Villages of rhode island' ""Rogue's Island""
 'Rhode Island Treasurer' 'Rhode Island (U.S. state)'
 'Education in Rhode Island' 'Rhode Island General Treasurer'
 'Rhode island agriculture' 'Rhode Island and the Providence Plantations'
 'Demographics of Rhode Island' 'Rhode island and providence plantations'
 'Rhode Island (state)' 'State of Rhode Island' 'R.I.' 'Little Rhody'
 ""Rhode Island Governor's Mansion"" 'The Ocean State' 'Rhode Islanders'
 'Rhode Islander' 'Symbols of Rhode Island' 'Transport in Rhode Island'
 'Villages of Rhode Island' 'Rhode Island and Providence Plantations'
 'R I' 'R.i.' 'Rhode Island' 'Geography of Rhode Island'
 'Rhode Island Villages' 'Religion in Rhode Island' '13th State'
 'The State of Rhode Island and Providence Plantations' 'Ocean State'
 'Culture of Rhode Island'
 'State of Rhode Island and Providence Plantations' 'Rode Island'
 'Rhode Island, United States' 'Sports in Rhode Island'
 'Economy of Rhode Island' 'Rhode island' 'Transportation in Rhode Island'
 'Climate of Rhode Island' 'Thirteenth State' 'US-RI'
 'Rhode Island cuisine' 'RI' 'Road Island']",Rhode Island,rhode island,"['rhodeisland', 'villages of rhode island', 'rogues island', 'rhode island treasurer', 'rhode island us state', 'education in rhode island', 'rhode island general treasurer', 'rhode island agriculture', 'rhode island and the providence plantations', 'demographics of rhode island', 'rhode island and providence plantations', 'rhode island state', 'state of rhode island', 'ri', 'little rhody', 'rhode island governors mansion', 'the ocean state', 'rhode islanders', 'rhode islander', 'symbols of rhode island', 'transport in rhode island', 'villages of rhode island', 'rhode island and providence plantations', 'r i', 'ri', 'rhode island', 'geography of rhode island', 'rhode island villages', 'religion in rhode island', '13th state', 'the state of rhode island and providence plantations', 'ocean state', 'culture of rhode island', 'state of rhode island and providence plantations', 'rode island', 'rhode island united states', 'sports in rhode island', 'economy of rhode island', 'rhode island', 'transportation in rhode island', 'climate of rhode island', 'thirteenth state', 'usri', 'rhode island cuisine', 'ri', 'road island']"
67,In which soap did Demi Moore find fame?,"['Everyday Heroes' 'Genaral Hospital' 'General Hospital'
 'General Hospital (US TV series)' 'General Hospital (US TV Series)'
 'General Hospital (U.S. TV series)' 'General Hospital (1963-1977)']",General Hospital,general hospital,"['everyday heroes', 'genaral hospital', 'general hospital', 'general hospital us tv series', 'general hospital us tv series', 'general hospital us tv series', 'general hospital 19631977']"
68,"To the nearest million, what is the population of London, England?",['seven million' '7million' '7 million'],7 million,7 million,"['seven million', '7million', '7 million']"
69,What did Clarice Cliff create?,"['Pots' 'Pottery and porcelain' 'Pottery maker' 'Art ware'
 'Pottery-makers' 'Pottery-maker' 'Vase painting' 'Fine art pot'
 'Clay pottery' 'Ceramics' 'Pottery' 'Ceramicware' 'Art pottery'
 'Painted vase' 'Ceramic pot' 'Ceramic ware' 'Ceramics art' 'Pot throwing'
 'Pottery-making' 'Pottery making' 'Ceramic paint' 'Pottery makers'
 'Potterymaker' 'Ceramicist' 'Potterymaking' 'Clay pot' 'Pot'
 'Pottery manufacture' 'Coil pot' 'History of pottery' 'Ceramic wares'
 'Potterymakers' 'Making a pot']",Pottery,pottery,"['pots', 'pottery and porcelain', 'pottery maker', 'art ware', 'potterymakers', 'potterymaker', 'vase painting', 'fine art pot', 'clay pottery', 'ceramics', 'pottery', 'ceramicware', 'art pottery', 'painted vase', 'ceramic pot', 'ceramic ware', 'ceramics art', 'pot throwing', 'potterymaking', 'pottery making', 'ceramic paint', 'pottery makers', 'potterymaker', 'ceramicist', 'potterymaking', 'clay pot', 'pot', 'pottery manufacture', 'coil pot', 'history of pottery', 'ceramic wares', 'potterymakers', 'making a pot']"
70,Which James Bond film features a song by Louis Armstrong?,"['Ohmss' 'OHMSS' ""On Her Majesty's Secret Service""
 'On Her Majestys Secret Service'
 ""On Her Majesty's Secret Service (disambiguation)""]",On Her Majesty's Secret Service,on her majestys secret service,"['ohmss', 'ohmss', 'on her majestys secret service', 'on her majestys secret service', 'on her majestys secret service disambiguation']"
71,In what year were US ground troops first dispatched to Vietnam?,"['one thousand, nine hundred and sixty-five' '1965']",1965,1965,"['one thousand nine hundred and sixtyfive', '1965']"
72,In 1999 Anna Kournikova signed a lucrative contract to model what?,['Bras' 'Bras (disambiguation)'],Bras,bras,"['bras', 'bras disambiguation']"
73,Which member of the Monkees came from Washington DC?,['Peter Thorkelson' 'Peter Tork'],Peter Tork,peter tork,"['peter thorkelson', 'peter tork']"
74,Which ship was sunk by a German submarine in 1915 with a loss of 1400 lives including 128 Americans?,"['Roman Lusitania' 'Luso-' 'Lusitânia' 'Lusitania' 'Hispania Lusitania'
 'Lusitania (ancient region)' 'Roman province Lusitania'
 'Lusitania (Roman province)']",Lusitania,lusitania,"['roman lusitania', 'luso', 'lusitânia', 'lusitania', 'hispania lusitania', 'lusitania ancient region', 'roman province lusitania', 'lusitania roman province']"
75,In what decade were video recorders first developed?,"['The Fifties' '1950s' '1950-1959' ""50's"" '1950’s' '50s' '1950–1959'
 'Nineteen-fifties' '1950s (decade)' '1950ies' ""1950's"" ""'50s"" '195%3F'
 'Fifties']",50s,50s,"['the fifties', '1950s', '19501959', '50s', '1950s', '50s', '19501959', 'nineteenfifties', '1950s decade', '1950ies', '1950s', '50s', '1953f', 'fifties']"
76,Who had the noels Spy Hook and Spy Line published in the 80s?,"['Leonard Cyril Deighton' 'Len Deighton' ""Len Deighton's London Dossier""]",Len Deighton,len deighton,"['leonard cyril deighton', 'len deighton', 'len deightons london dossier']"
77,the first credit cards were for use in what type of establishments?,"['Eateries' 'Cookshop' 'Restuarant' 'Restarant' 'Resteraunt'
 'Piqueteadero' 'Restaurant' 'Restaraunt' 'Restaurants' 'Resturants'
 'Resturant' 'Public food facility' 'Eatery' 'Theatre restaurant'
 'Resturaunt' 'Restuarent' 'Restauraunt' ""Chef's table"" 'Resterant']",Restaurants,restaurants,"['eateries', 'cookshop', 'restuarant', 'restarant', 'resteraunt', 'piqueteadero', 'restaurant', 'restaraunt', 'restaurants', 'resturants', 'resturant', 'public food facility', 'eatery', 'theatre restaurant', 'resturaunt', 'restuarent', 'restauraunt', 'chefs table', 'resterant']"
